Idx	CourseName	InstructorName	StudentNumber	CourseQuality	InstructorQuality	Difficulty
358	CIS-262-001	 AARON L ROTH	169	2.25	3.21	2.63
359	CIS-330-001	 SUSAN B DAVIDSON	20	2.47	2.67	2.67
360	CIS-330-001	 SUSAN B DAVIDSON	29	2.54	2.19	2.83
361	CIS-330-001	 SUSAN B DAVIDSON	21	2.56	2.94	2.5
362	CIS-330-001	 SUSAN B DAVIDSON	46	2.65	2.58	2.62
363	CIS-330-001	 SUSAN B DAVIDSON	48	2.16	2.75	2.26
364	CIS-330-001	 SUSAN B DAVIDSON	72	1.97	2.54	2.13
365	CIS-334-001	 SAMPATH K. KANNAN	7	3.83	3.43	3.86
366	CIS-334-001	 SANJEEV KHANNA	11	3.09	3.36	3.73
367	CIS-334-001	 SANJEEV KHANNA	13	3.8	3.7	4
368	CIS-334-001	 SANJEEV KHANNA	14	3.83	3.73	3.92
369	CIS-334-001	 SANJEEV KHANNA	12	3.83	3.55	3.92
370	CIS-350-001	 JONATHAN MICHAEL SMITH	12	2.44	2	2.56
371	CIS-350-001	 JONATHAN MICHAEL SMITH	16	3	2.27	3.2
372	CIS-350-001	 MATTHEW BLAZE	16	3	2.27	2.47
373	CIS-350-001	 JONATHAN MICHAEL SMITH	22	3	1.85	3.32
374	CIS-350-001	 JONATHAN MICHAEL SMITH	7	3.14	2.29	2.57
375	CIS-350-001	 CHRISTIAN MURPHY	70	3.06	1.73	3.59
